feature,missing_ratio,mean,std,skew,kurtosis,outlier_ratio_iqr
X211,0.23292944747427388,182.38851062309305,5579.763496616019,2.5860894466296767,41.00437407169785,0.1150087604570244
X212,0.23292944747427388,3689034.033684814,486450443.40854275,-11.09115376627219,330.45769749835705,0.1478913209782099
X213,0.23292944747427388,1374572.1173614773,415747882.9338523,-8.427737950749322,205.39382086328203,0.1470522912913654
X214,0.23292944747427388,2.055146016333702,0.267312772183047,0.4341779445440195,0.30477190925428044,0.006231029292007009
X215,0.23292944747427388,2.1010226735500015,0.4365906631267831,0.761685025562749,1.3503560742395244,0.011536658194111985
X216,0.23292944747427388,0.013538264474348315,0.13730403508187253,0.36645935411271396,0.335643450376804,0.008526022258964046
X217,0.23292944747427388,-0.9817733808834637,0.008203748436066754,0.8822859875317052,2.2094831220368567,0.02332008982553118
X218,0.23292944747427388,-0.1060647412672653,0.10333267938735961,-1.4693315504605697,3.2810526891926317,0.02931668435209634
X219,0.23292944747427388,-0.07769549702536753,0.0783987161301281,-1.7632212068517483,4.904463145348244,0.0363127112997557
X22,0.233447671692619,0.0035843799981304793,0.0067975823312853775,3.2844736633887823,16.176351833794328,0.07749919798632875
X220,0.23292944747427388,0.11652160996100389,0.1461875516122749,2.9263783226426816,14.466769058717658,0.047380499962983984
X221,0.23292944747427388,0.20896414977898917,0.14958216419137277,2.435535112454298,11.604796572562728,0.0388668163758853
X222,0.23292944747427388,0.18508586466650573,0.13430278406571114,2.596914212313347,13.944497318932887,0.038768107000962414
X223,0.23292944747427388,0.05787310886805073,0.7217241214026212,0.07119564467627854,-0.5143165417078439,0.0007896749993830664
X224,0.23292944747427388,0.05892824083744803,0.7139074737980378,0.03184411603715588,-0.5402112172398512,0.0006662882807294623
X225,0.23292944747427388,0.049176726347905236,0.16620506092931514,0.388948999013747,0.10175165992678936,0.005145226167855292
X226,0.23292944747427388,0.04305319675333263,0.14717739730199153,0.3672975269740366,0.003215710216710743,0.0051205488241245715
X227,0.23292944747427388,0.06737048230039398,0.23306151946698994,0.6043109082681705,0.6911179897894524,0.008933198430520938
X228,0.23292944747427388,24.601486404461188,55.25482775387289,4.080212814095691,17.412389532702434,0.07869604915726872
X229,0.23292944747427388,24.79905007458534,58.65419090174685,4.717512255442904,25.866947921072125,0.08148458899884016
X23,0.233447671692619,0.0035859644518281336,0.0036173126504893227,2.1664018076820475,8.14058582396644,0.03530094020679614
X230,0.23292944747427388,0.44851435865224026,0.03920321882146052,0.06055989073330634,0.3303460262850604,0.008414974212175802
X231,0.23292944747427388,25.320373773146986,57.53134215692015,4.315958526433911,20.709597287290897,0.07817782493892357
X232,0.23292944747427388,0.49283360260892833,0.03289428117477362,-0.5632051224106388,1.9887958063244282,0.011968511709399601
X233,0.23292944747427388,0.4927177436919545,0.05974934870227239,-0.1951818623763989,0.4122359033342149,0.006773930854082866
X234,0.23292944747427388,0.07607027268550655,0.9120007064945055,0.08110278316181303,0.6772292878211483,0.007218123041235841
X235,0.23292944747427388,0.005840354622190738,0.10451592339089741,-0.206129310611421,2.2639783339715995,0.04416010660612492
X236,0.23292944747427388,0.004178925281269319,0.06267082050763952,0.04703618914597995,3.688728557873821,0.04502381363670015
X237,0.23292944747427388,0.005273516942499136,0.07519748212453564,0.07010323899980724,3.0906455807690394,0.038768107000962414
X238,0.23292944747427388,0.1263346677720785,2.2658879377649073,-0.07979348241358554,-1.9133283851519656,0.0
X239,0.23292944747427388,0.02088464965293437,0.35558802739289,-0.23495773831234706,0.3842039402556172,0.011968511709399601
X24,0.233447671692619,-0.0035843799981304793,0.0067975823312853775,-3.2844736633887823,16.176351833794328,0.07749919798632875
X240,0.23292944747427388,-0.0015069178955688376,0.06851479875062785,0.7328539195942996,6.504240566741894,0.04224761246699405
X241,0.23292944747427388,-0.0013140081131723976,0.050345520469545144,0.7542708916320324,8.07642823741995,0.04628235816696691
X242,0.23292944747427388,0.023957237656356836,0.06932857215261873,-0.016041553720163724,0.07974862886145484,0.006342077338795252
X243,0.23292944747427388,0.02345964153601445,0.06317874879862888,-0.02671834498990349,0.027969228350398723,0.006354416010660613
